agent,scenario,seed,finished,dnf,dnf_reason,total_time_s,total_time_min,laps_completed,mean_lap_time_s,best_lap_s,worst_lap_s,lap_time_std_s,pit_stops,compounds_used,n_compounds,off_track_count,fuel_remaining_kg,final_tyre_wear_pct
RuleBased,FullDry,42,True,False,,4750.517,79.175,52,91.356,89.984,110.578,2.826,1,Hard+Medium,2,0,1.896,22.974
RuleBased,FullDry,43,True,False,,4750.517,79.175,52,91.356,89.984,110.578,2.826,1,Hard+Medium,2,0,1.896,22.974
RuleBased,FullDry,44,True,False,,4750.517,79.175,52,91.356,89.984,110.578,2.826,1,Hard+Medium,2,0,1.896,22.974
RuleBased,FullDry,45,True,False,,4750.517,79.175,52,91.356,89.984,110.578,2.826,1,Hard+Medium,2,0,1.896,22.974
RuleBased,FullDry,46,True,False,,4750.517,79.175,52,91.356,89.984,110.578,2.826,1,Hard+Medium,2,0,1.896,22.974
RuleBased,FullDry,47,True,False,,4750.517,79.175,52,91.356,89.984,110.578,2.826,1,Hard+Medium,2,0,1.896,22.974
RuleBased,FullDry,48,True,False,,4750.517,79.175,52,91.356,89.984,110.578,2.826,1,Hard+Medium,2,0,1.896,22.974
RuleBased,FullDry,49,True,False,,4750.517,79.175,52,91.356,89.984,110.578,2.826,1,Hard+Medium,2,0,1.896,22.974
RuleBased,FullDry,50,True,False,,4750.517,79.175,52,91.356,89.984,110.578,2.826,1,Hard+Medium,2,0,1.896,22.974
RuleBased,FullDry,51,True,False,,4750.517,79.175,52,91.356,89.984,110.578,2.826,1,Hard+Medium,2,0,1.896,22.974
RuleBased,FullDry,52,True,False,,4750.517,79.175,52,91.356,89.984,110.578,2.826,1,Hard+Medium,2,0,1.896,22.974
RuleBased,FullDry,53,True,False,,4750.517,79.175,52,91.356,89.984,110.578,2.826,1,Hard+Medium,2,0,1.896,22.974
RuleBased,FullDry,54,True,False,,4750.517,79.175,52,91.356,89.984,110.578,2.826,1,Hard+Medium,2,0,1.896,22.974
RuleBased,FullDry,55,True,False,,4750.517,79.175,52,91.356,89.984,110.578,2.826,1,Hard+Medium,2,0,1.896,22.974
RuleBased,FullDry,56,True,False,,4750.517,79.175,52,91.356,89.984,110.578,2.826,1,Hard+Medium,2,0,1.896,22.974
Utility,FullDry,42,True,False,,4750.517,79.175,52,91.356,90.034,110.741,2.832,1,Hard+Medium,2,0,1.896,23.855
Utility,FullDry,43,True,False,,4750.517,79.175,52,91.356,90.034,110.741,2.832,1,Hard+Medium,2,0,1.896,23.855
Utility,FullDry,44,True,False,,4750.517,79.175,52,91.356,90.034,110.741,2.832,1,Hard+Medium,2,0,1.896,23.855
Utility,FullDry,45,True,False,,4750.517,79.175,52,91.356,90.034,110.741,2.832,1,Hard+Medium,2,0,1.896,23.855
Utility,FullDry,46,True,False,,4750.517,79.175,52,91.356,90.034,110.741,2.832,1,Hard+Medium,2,0,1.896,23.855
Utility,FullDry,47,True,False,,4750.517,79.175,52,91.356,90.034,110.741,2.832,1,Hard+Medium,2,0,1.896,23.855
Utility,FullDry,48,True,False,,4750.517,79.175,52,91.356,90.034,110.741,2.832,1,Hard+Medium,2,0,1.896,23.855
Utility,FullDry,49,True,False,,4750.517,79.175,52,91.356,90.034,110.741,2.832,1,Hard+Medium,2,0,1.896,23.855
Utility,FullDry,50,True,False,,4750.517,79.175,52,91.356,90.034,110.741,2.832,1,Hard+Medium,2,0,1.896,23.855
Utility,FullDry,51,True,False,,4750.517,79.175,52,91.356,90.034,110.741,2.832,1,Hard+Medium,2,0,1.896,23.855
Utility,FullDry,52,True,False,,4750.517,79.175,52,91.356,90.034,110.741,2.832,1,Hard+Medium,2,0,1.896,23.855
Utility,FullDry,53,True,False,,4750.517,79.175,52,91.356,90.034,110.741,2.832,1,Hard+Medium,2,0,1.896,23.855
Utility,FullDry,54,True,False,,4750.517,79.175,52,91.356,90.034,110.741,2.832,1,Hard+Medium,2,0,1.896,23.855
Utility,FullDry,55,True,False,,4750.517,79.175,52,91.356,90.034,110.741,2.832,1,Hard+Medium,2,0,1.896,23.855
Utility,FullDry,56,True,False,,4750.517,79.175,52,91.356,90.034,110.741,2.832,1,Hard+Medium,2,0,1.896,23.855
RL,FullDry,42,True,False,,5832.871,97.215,52,112.171,71.898,135.351,14.691,1,Medium+Soft,2,0,2.196,5.572
RL,FullDry,43,True,False,,5832.871,97.215,52,112.171,71.898,135.351,14.691,1,Medium+Soft,2,0,2.196,5.572
RL,FullDry,44,True,False,,5832.871,97.215,52,112.171,71.898,135.351,14.691,1,Medium+Soft,2,0,2.196,5.572
RL,FullDry,45,True,False,,5832.871,97.215,52,112.171,71.898,135.351,14.691,1,Medium+Soft,2,0,2.196,5.572
RL,FullDry,46,True,False,,5832.871,97.215,52,112.171,71.898,135.351,14.691,1,Medium+Soft,2,0,2.196,5.572
RL,FullDry,47,True,False,,5832.871,97.215,52,112.171,71.898,135.351,14.691,1,Medium+Soft,2,0,2.196,5.572
RL,FullDry,48,True,False,,5832.871,97.215,52,112.171,71.898,135.351,14.691,1,Medium+Soft,2,0,2.196,5.572
RL,FullDry,49,True,False,,5832.871,97.215,52,112.171,71.898,135.351,14.691,1,Medium+Soft,2,0,2.196,5.572
RL,FullDry,50,True,False,,5832.871,97.215,52,112.171,71.898,135.351,14.691,1,Medium+Soft,2,0,2.196,5.572
RL,FullDry,51,True,False,,5832.871,97.215,52,112.171,71.898,135.351,14.691,1,Medium+Soft,2,0,2.196,5.572
RL,FullDry,52,True,False,,5832.871,97.215,52,112.171,71.898,135.351,14.691,1,Medium+Soft,2,0,2.196,5.572
RL,FullDry,53,True,False,,5832.871,97.215,52,112.171,71.898,135.351,14.691,1,Medium+Soft,2,0,2.196,5.572
RL,FullDry,54,True,False,,5832.871,97.215,52,112.171,71.898,135.351,14.691,1,Medium+Soft,2,0,2.196,5.572
RL,FullDry,55,True,False,,5832.871,97.215,52,112.171,71.898,135.351,14.691,1,Medium+Soft,2,0,2.196,5.572
RL,FullDry,56,True,False,,5832.871,97.215,52,112.171,71.898,135.351,14.691,1,Medium+Soft,2,0,2.196,5.572
RuleBased,FullWet,42,True,False,,5152.302,85.872,52,99.083,96.583,117.179,2.801,1,Wet,1,0,1.887,40.899
RuleBased,FullWet,43,True,False,,5152.302,85.872,52,99.083,96.583,117.179,2.801,1,Wet,1,0,1.887,40.899
RuleBased,FullWet,44,True,False,,5152.302,85.872,52,99.083,96.583,117.179,2.801,1,Wet,1,0,1.887,40.899
RuleBased,FullWet,45,True,False,,5152.302,85.872,52,99.083,96.583,117.179,2.801,1,Wet,1,0,1.887,40.899
RuleBased,FullWet,46,True,False,,5152.302,85.872,52,99.083,96.583,117.179,2.801,1,Wet,1,0,1.887,40.899
RuleBased,FullWet,47,True,False,,5152.302,85.872,52,99.083,96.583,117.179,2.801,1,Wet,1,0,1.887,40.899
RuleBased,FullWet,48,True,False,,5152.302,85.872,52,99.083,96.583,117.179,2.801,1,Wet,1,0,1.887,40.899
RuleBased,FullWet,49,True,False,,5152.302,85.872,52,99.083,96.583,117.179,2.801,1,Wet,1,0,1.887,40.899
RuleBased,FullWet,50,True,False,,5152.302,85.872,52,99.083,96.583,117.179,2.801,1,Wet,1,0,1.887,40.899
RuleBased,FullWet,51,True,False,,5152.302,85.872,52,99.083,96.583,117.179,2.801,1,Wet,1,0,1.887,40.899
RuleBased,FullWet,52,True,False,,5152.302,85.872,52,99.083,96.583,117.179,2.801,1,Wet,1,0,1.887,40.899
RuleBased,FullWet,53,True,False,,5152.302,85.872,52,99.083,96.583,117.179,2.801,1,Wet,1,0,1.887,40.899
RuleBased,FullWet,54,True,False,,5152.302,85.872,52,99.083,96.583,117.179,2.801,1,Wet,1,0,1.887,40.899
RuleBased,FullWet,55,True,False,,5152.302,85.872,52,99.083,96.583,117.179,2.801,1,Wet,1,0,1.887,40.899
RuleBased,FullWet,56,True,False,,5152.302,85.872,52,99.083,96.583,117.179,2.801,1,Wet,1,0,1.887,40.899
Utility,FullWet,42,True,False,,5164.648,86.077,52,99.32,97.083,117.677,2.772,1,Wet,1,0,1.897,53.521
Utility,FullWet,43,True,False,,5164.648,86.077,52,99.32,97.083,117.677,2.772,1,Wet,1,0,1.897,53.521
Utility,FullWet,44,True,False,,5164.648,86.077,52,99.32,97.083,117.677,2.772,1,Wet,1,0,1.897,53.521
Utility,FullWet,45,True,False,,5164.648,86.077,52,99.32,97.083,117.677,2.772,1,Wet,1,0,1.897,53.521
Utility,FullWet,46,True,False,,5164.648,86.077,52,99.32,97.083,117.677,2.772,1,Wet,1,0,1.897,53.521
Utility,FullWet,47,True,False,,5164.648,86.077,52,99.32,97.083,117.677,2.772,1,Wet,1,0,1.897,53.521
Utility,FullWet,48,True,False,,5164.648,86.077,52,99.32,97.083,117.677,2.772,1,Wet,1,0,1.897,53.521
Utility,FullWet,49,True,False,,5164.648,86.077,52,99.32,97.083,117.677,2.772,1,Wet,1,0,1.897,53.521
Utility,FullWet,50,True,False,,5164.648,86.077,52,99.32,97.083,117.677,2.772,1,Wet,1,0,1.897,53.521
Utility,FullWet,51,True,False,,5164.648,86.077,52,99.32,97.083,117.677,2.772,1,Wet,1,0,1.897,53.521
Utility,FullWet,52,True,False,,5164.648,86.077,52,99.32,97.083,117.677,2.772,1,Wet,1,0,1.897,53.521
Utility,FullWet,53,True,False,,5164.648,86.077,52,99.32,97.083,117.677,2.772,1,Wet,1,0,1.897,53.521
Utility,FullWet,54,True,False,,5164.648,86.077,52,99.32,97.083,117.677,2.772,1,Wet,1,0,1.897,53.521
Utility,FullWet,55,True,False,,5164.648,86.077,52,99.32,97.083,117.677,2.772,1,Wet,1,0,1.897,53.521
Utility,FullWet,56,True,False,,5164.648,86.077,52,99.32,97.083,117.677,2.772,1,Wet,1,0,1.897,53.521
RL,FullWet,42,True,False,,6411.252,106.854,52,123.293,79.697,151.927,15.105,1,Wet,1,0,2.017,42.743
RL,FullWet,43,True,False,,6411.252,106.854,52,123.293,79.697,151.927,15.105,1,Wet,1,0,2.017,42.743
RL,FullWet,44,True,False,,6411.252,106.854,52,123.293,79.697,151.927,15.105,1,Wet,1,0,2.017,42.743
RL,FullWet,45,True,False,,6411.252,106.854,52,123.293,79.697,151.927,15.105,1,Wet,1,0,2.017,42.743
RL,FullWet,46,True,False,,6411.252,106.854,52,123.293,79.697,151.927,15.105,1,Wet,1,0,2.017,42.743
RL,FullWet,47,True,False,,6411.252,106.854,52,123.293,79.697,151.927,15.105,1,Wet,1,0,2.017,42.743
RL,FullWet,48,True,False,,6411.252,106.854,52,123.293,79.697,151.927,15.105,1,Wet,1,0,2.017,42.743
RL,FullWet,49,True,False,,6411.252,106.854,52,123.293,79.697,151.927,15.105,1,Wet,1,0,2.017,42.743
RL,FullWet,50,True,False,,6411.252,106.854,52,123.293,79.697,151.927,15.105,1,Wet,1,0,2.017,42.743
RL,FullWet,51,True,False,,6411.252,106.854,52,123.293,79.697,151.927,15.105,1,Wet,1,0,2.017,42.743
RL,FullWet,52,True,False,,6411.252,106.854,52,123.293,79.697,151.927,15.105,1,Wet,1,0,2.017,42.743
RL,FullWet,53,True,False,,6411.252,106.854,52,123.293,79.697,151.927,15.105,1,Wet,1,0,2.017,42.743
RL,FullWet,54,True,False,,6411.252,106.854,52,123.293,79.697,151.927,15.105,1,Wet,1,0,2.017,42.743
RL,FullWet,55,True,False,,6411.252,106.854,52,123.293,79.697,151.927,15.105,1,Wet,1,0,2.017,42.743
RL,FullWet,56,True,False,,6411.252,106.854,52,123.293,79.697,151.927,15.105,1,Wet,1,0,2.017,42.743
RuleBased,DryToWet,42,True,False,,4999.644,83.327,52,96.147,89.984,129.188,7.227,2,Hard+Medium+Wet,3,0,1.982,18.857
RuleBased,DryToWet,43,True,False,,5169.539,86.159,52,99.414,90.554,134.322,7.104,1,Medium+Wet,2,0,1.978,48.777
RuleBased,DryToWet,44,True,False,,5060.099,84.335,52,97.31,90.554,128.025,7.779,2,Hard+Medium+Wet,3,0,1.962,29.875
RuleBased,DryToWet,45,True,False,,5118.854,85.314,52,98.439,90.554,127.136,7.819,2,Hard+Medium+Wet,3,0,1.96,37.746
RuleBased,DryToWet,46,True,False,,4954.373,82.573,52,95.276,89.984,130.19,7.701,2,Hard+Medium+Wet,3,0,1.982,6.284
RuleBased,DryToWet,47,True,False,,5082.151,84.703,52,97.734,90.554,127.449,7.801,2,Hard+Medium+Wet,3,0,1.963,33.022
RuleBased,DryToWet,48,True,False,,5020.654,83.678,52,96.551,90.554,128.626,7.626,2,Hard+Medium+Wet,3,0,1.984,23.579
RuleBased,DryToWet,49,True,False,,5160.736,86.012,52,99.245,90.554,134.659,7.246,1,Medium+Wet,2,0,1.973,47.202
RuleBased,DryToWet,50,True,False,,5039.651,83.994,52,96.916,90.554,128.2,7.702,2,Hard+Medium+Wet,3,0,1.973,26.724
RuleBased,DryToWet,51,True,False,,5132.253,85.538,52,98.697,90.554,147.481,8.996,2,Hard+Medium+Wet,3,0,1.96,39.321
RuleBased,DryToWet,52,True,False,,5118.854,85.314,52,98.439,90.554,127.136,7.819,2,Hard+Medium+Wet,3,0,1.96,37.746
RuleBased,DryToWet,53,True,False,,5006.546,83.442,52,96.28,89.984,129.051,7.159,2,Hard+Medium+Wet,3,0,1.981,20.43
RuleBased,DryToWet,54,True,False,,4949.821,82.497,52,95.189,89.984,130.277,7.755,2,Hard+Medium+Wet,3,0,1.982,4.714
RuleBased,DryToWet,55,True,False,,5160.736,86.012,52,99.245,90.554,134.659,7.246,1,Medium+Wet,2,0,1.973,47.202
RuleBased,DryToWet,56,True,False,,4945.367,82.423,52,95.103,89.984,130.265,7.788,2,Hard+Medium+Wet,3,0,1.98,3.14
Utility,DryToWet,42,True,False,,4965.831,82.764,52,95.497,90.034,119.794,5.736,2,Hard+Medium+Wet,3,0,1.948,25.158
Utility,DryToWet,43,True,False,,5157.297,85.955,52,99.179,90.554,122.802,6.047,2,Hard+Medium+Wet,3,0,1.958,55.111
Utility,DryToWet,44,True,False,,5025.336,83.756,52,96.641,90.554,122.465,6.394,2,Hard+Medium+Wet,3,0,1.946,36.179
Utility,DryToWet,45,True,False,,5075.741,84.596,52,97.61,90.554,122.502,6.392,2,Hard+Medium+Wet,3,0,1.952,44.059
Utility,DryToWet,46,True,False,,4911.668,81.861,52,94.455,90.034,119.196,6.008,2,Hard+Medium+Wet,3,0,1.955,12.579
Utility,DryToWet,47,True,False,,5045.535,84.092,52,97.03,90.554,122.428,6.43,2,Hard+Medium+Wet,3,0,1.944,39.326
Utility,DryToWet,48,True,False,,4990.136,83.169,52,95.964,90.554,120.032,5.591,2,Hard+Medium+Wet,3,0,1.948,29.881
Utility,DryToWet,49,True,False,,5146.246,85.771,52,98.966,90.554,122.789,6.146,2,Hard+Medium+Wet,3,0,1.958,53.527
Utility,DryToWet,50,True,False,,5009.636,83.494,52,96.339,90.554,122.341,6.394,2,Hard+Medium+Wet,3,0,1.947,33.03
Utility,DryToWet,51,True,False,,5085.338,84.756,52,97.795,90.554,122.665,6.358,2,Hard+Medium+Wet,3,0,1.948,45.636
Utility,DryToWet,52,True,False,,5075.741,84.596,52,97.61,90.554,122.502,6.392,2,Hard+Medium+Wet,3,0,1.952,44.059
Utility,DryToWet,53,True,False,,4973.681,82.895,52,95.648,90.034,119.907,5.698,2,Hard+Medium+Wet,3,0,1.948,26.734
Utility,DryToWet,54,True,False,,4906.966,81.783,52,94.365,90.034,119.233,6.062,2,Hard+Medium+Wet,3,0,1.952,11.004
Utility,DryToWet,55,True,False,,5146.246,85.771,52,98.966,90.554,122.789,6.146,2,Hard+Medium+Wet,3,0,1.958,53.527
Utility,DryToWet,56,True,False,,4901.515,81.692,52,94.26,90.034,119.121,6.084,2,Hard+Medium+Wet,3,0,1.957,9.435
RL,DryToWet,42,True,False,,6013.072,100.218,52,115.636,71.898,153.937,17.5,1,Medium+Wet,2,0,2.177,21.331
RL,DryToWet,43,True,False,,6292.561,104.876,52,121.011,71.898,145.856,18.557,2,Hard+Medium+Wet,3,10,2.19,46.969
RL,DryToWet,44,True,False,,6085.014,101.417,52,117.02,71.898,154.117,18.294,1,Medium+Wet,2,0,2.155,30.689
RL,DryToWet,45,True,False,,6190.458,103.174,52,119.047,71.898,154.474,19.234,2,Hard+Medium+Wet,3,2,2.158,37.39
